,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,gdp_per_capita,cvd_death_rate,continent,day,month,year
0,AFG,Afghanistan,31/03/20,141,27,4,0,3.622,0.6940000000000001,0.10300000000000001,0.0,38928341.0,54.422,18.6,1803.987,597.029,Asia,31,3,2020
1,ALB,Albania,31/03/20,223,11,12,2,77.49,3.822,4.17,0.695,2877800.0,104.87100000000001,38.0,11803.431,304.195,Europe,31,3,2020
2,DZA,Algeria,31/03/20,584,73,35,4,13.318,1.665,0.7979999999999999,0.091,43851043.0,17.348,29.1,13913.839,278.36400000000003,Africa,31,3,2020
3,AND,Andorra,31/03/20,370,36,8,2,4788.714,465.92900000000003,103.54,25.885,77265.0,163.755,,,109.135,Europe,31,3,2020
4,AGO,Angola,30/03/20,7,3,2,2,0.213,0.091,0.061,0.061,32866268.0,23.89,16.8,5819.495,276.045,Africa,30,3,2020
5,AIA,Anguilla,27/03/20,2,2,0,0,133.316,133.316,0.0,0.0,15002.0,,,,,Americas,27,3,2020
6,ATG,Antigua and Barbuda,27/03/20,7,4,0,0,71.48100000000001,40.846,0.0,0.0,97928.0,231.845,32.1,21490.943,191.511,Americas,27,3,2020
7,ARG,Argentina,31/03/20,966,146,24,4,21.374000000000002,3.23,0.531,0.08900000000000001,45195777.0,16.177,31.9,18933.907,191.032,Americas,31,3,2020
8,ARM,Armenia,31/03/20,482,58,3,0,162.66,19.573,1.012,0.0,2963234.0,102.931,35.7,8787.58,341.01,Asia,31,3,2020
9,ABW,Aruba,30/03/20,50,22,0,0,468.314,206.058,0.0,0.0,106766.0,584.8,41.2,35973.781,,Americas,30,3,2020
10,AUS,Australia,31/03/20,4557,464,19,3,178.707,18.195999999999998,0.745,0.11800000000000001,25499881.0,3.202,37.9,44648.71,107.791,Oceania,31,3,2020
11,AUT,Austria,31/03/20,9618,805,108,22,1067.907,89.381,11.991,2.443,9006400.0,106.749,44.4,45436.685999999994,145.183,Europe,31,3,2020
12,AZE,Azerbaijan,31/03/20,273,64,4,0,26.925,6.312,0.395,0.0,10139175.0,119.309,32.4,15847.419,559.812,Asia,31,3,2020
13,BHS,Bahamas,30/03/20,14,3,0,0,35.601,7.629,0.0,0.0,393248.0,39.497,34.3,27717.847,235.954,Americas,30,3,2020
14,BHR,Bahrain,31/03/20,515,15,4,0,302.659,8.815,2.351,0.0,1701583.0,1935.9070000000002,32.4,43290.705,151.689,Asia,31,3,2020
15,BGD,Bangladesh,30/03/20,49,1,5,0,0.298,0.006,0.03,0.0,164689383.0,1265.036,27.5,3523.9840000000004,298.003,Asia,30,3,2020
16,BRB,Barbados,31/03/20,34,1,0,0,118.314,3.48,0.0,0.0,287371.0,664.4630000000001,39.8,16978.068,170.05,Americas,31,3,2020
17,BLR,Belarus,31/03/20,105,11,0,0,11.112,1.1640000000000001,0.0,0.0,9449321.0,46.858000000000004,40.3,17167.967,443.129,Europe,31,3,2020
18,BEL,Belgium,31/03/20,11899,1063,513,82,1026.695,91.72,44.263999999999996,7.075,11589616.0,375.564,41.8,42658.575999999994,114.898,Europe,31,3,2020
19,BLZ,Belize,31/03/20,3,1,0,0,7.545,2.515,0.0,0.0,397621.0,16.426,25.0,7824.361999999999,176.957,Americas,31,3,2020
20,BEN,Benin,27/03/20,6,1,0,0,0.495,0.08199999999999999,0.0,0.0,12123198.0,99.11,18.8,2064.236,235.84799999999998,Africa,27,3,2020
21,BMU,Bermuda,31/03/20,27,5,0,0,433.575,80.292,0.0,0.0,62273.0,1308.82,,50669.315,139.547,Americas,31,3,2020
22,BTN,Bhutan,29/03/20,4,1,0,0,5.184,1.296,0.0,0.0,771612.0,21.188000000000002,28.6,8708.597,217.06599999999997,Asia,29,3,2020
23,BOL,Bolivia,31/03/20,107,11,6,3,9.166,0.9420000000000001,0.514,0.257,11673029.0,10.202,25.4,6885.829000000001,204.299,Americas,31,3,2020
24,BIH,Bosnia and Herzegovina,31/03/20,353,30,8,2,107.595,9.144,2.438,0.61,3280815.0,68.49600000000001,42.5,11713.895,329.635,Europe,31,3,2020
25,BRA,Brazil,31/03/20,4579,323,159,23,21.541999999999998,1.52,0.748,0.10800000000000001,212559409.0,25.04,33.5,14103.452,177.96099999999998,Americas,31,3,2020
26,VGB,British Virgin Islands,31/03/20,3,1,0,0,99.21600000000001,33.071999999999996,0.0,0.0,30237.0,207.97299999999998,,,,Americas,31,3,2020
27,BRN,Brunei,31/03/20,127,1,1,0,290.297,2.286,2.286,0.0,437483.0,81.347,32.4,71809.25099999999,201.285,Asia,31,3,2020
28,BGR,Bulgaria,31/03/20,359,13,8,0,51.666000000000004,1.871,1.151,0.0,6948445.0,65.18,44.7,18563.307,424.68800000000005,Europe,31,3,2020
29,BFA,Burkina Faso,31/03/20,222,42,12,3,10.62,2.009,0.574,0.14400000000000002,20903278.0,70.15100000000001,17.6,1703.102,269.048,Africa,31,3,2020
30,KHM,Cambodia,31/03/20,109,2,0,0,6.52,0.12,0.0,0.0,16718971.0,90.67200000000001,25.6,3645.07,270.892,Asia,31,3,2020
31,CMR,Cameroon,31/03/20,142,43,2,0,5.349,1.62,0.075,0.0,26545864.0,50.885,18.8,3364.926,244.66099999999997,Africa,31,3,2020
32,CAN,Canada,31/03/20,7424,1169,89,28,196.703,30.973000000000003,2.358,0.742,37742157.0,4.037,41.4,44017.59099999999,105.59899999999999,Americas,31,3,2020
33,CPV,Cape Verde,27/03/20,5,1,1,0,8.993,1.7990000000000002,1.7990000000000002,0.0,555988.0,135.58,25.7,6222.554,182.21900000000002,Africa,27,3,2020
34,CYM,Cayman Islands,31/03/20,12,4,1,0,182.593,60.864,15.216,0.0,65720.0,256.496,,49903.029,,Americas,31,3,2020
35,CAF,Central African Republic,29/03/20,6,1,0,0,1.242,0.207,0.0,0.0,4829764.0,7.479,18.3,661.24,435.727,Africa,29,3,2020
36,TCD,Chad,31/03/20,7,2,0,0,0.426,0.122,0.0,0.0,16425859.0,11.833,16.7,1768.1529999999998,280.995,Africa,31,3,2020
37,CHL,Chile,31/03/20,2449,310,8,1,128.111,16.217,0.418,0.052000000000000005,19116209.0,24.281999999999996,35.4,22767.037,127.993,Americas,31,3,2020
38,CHN,China,31/03/20,82241,84,3309,3,57.138999999999996,0.057999999999999996,2.299,0.002,1439323774.0,147.674,38.7,15308.712,261.899,Asia,31,3,2020
39,COL,Colombia,31/03/20,798,96,14,4,15.683,1.8869999999999998,0.275,0.079,50882884.0,44.223,32.2,13254.948999999999,124.24,Americas,31,3,2020
40,COG,Congo,29/03/20,19,15,0,0,3.443,2.718,0.0,0.0,5518092.0,15.405,19.0,4881.406,344.094,Africa,29,3,2020
41,CRI,Costa Rica,31/03/20,330,16,2,0,64.781,3.141,0.39299999999999996,0.0,5094114.0,96.079,33.6,15524.995,137.97299999999998,Americas,31,3,2020
42,CIV,Cote d'Ivoire,31/03/20,168,3,1,0,6.369,0.114,0.038,0.0,26378275.0,76.399,18.7,3601.006,303.74,Africa,31,3,2020
43,HRV,Croatia,31/03/20,790,77,6,0,192.43599999999998,18.756,1.462,0.0,4105268.0,73.726,44.0,22669.797000000002,253.782,Europe,31,3,2020
44,CUB,Cuba,31/03/20,170,31,4,1,15.009,2.737,0.353,0.08800000000000001,11326616.0,110.40799999999999,43.1,,190.968,Americas,31,3,2020
45,CUW,Curacao,30/03/20,9,1,1,0,54.845,6.093999999999999,6.093999999999999,0.0,164100.0,362.644,41.7,,,Americas,30,3,2020
46,CYP,Cyprus,31/03/20,230,16,7,1,262.587,18.267,7.992000000000001,1.1420000000000001,875899.0,127.65700000000001,37.3,32415.132,141.171,Asia,31,3,2020
