,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,gdp_per_capita,cvd_death_rate,continent,day,month,year
0,AFG,Afghanistan,18/05/20,6664,262,169,1,171.18599999999998,6.73,4.341,0.026000000000000002,38928341.0,54.422,18.6,1803.987,597.029,Asia,18,5,2020
1,ALB,Albania,18/05/20,946,13,31,0,328.723,4.5169999999999995,10.772,0.0,2877800.0,104.87100000000001,38.0,11803.431,304.195,Europe,18,5,2020
2,DZA,Algeria,18/05/20,7019,198,548,6,160.065,4.515,12.497,0.13699999999999998,43851043.0,17.348,29.1,13913.839,278.36400000000003,Africa,18,5,2020
3,AND,Andorra,15/05/20,761,1,49,0,9849.22,12.942,634.181,0.0,77265.0,163.755,,,109.135,Europe,15,5,2020
4,AGO,Angola,15/05/20,48,3,2,0,1.46,0.091,0.061,0.0,32866268.0,23.89,16.8,5819.495,276.045,Africa,15,5,2020
5,AIA,Anguilla,01/05/20,3,0,0,0,199.97299999999998,0.0,0.0,0.0,15002.0,,,,,Americas,1,5,2020
6,ATG,Antigua and Barbuda,02/05/20,25,1,3,0,255.29,10.212,30.635,0.0,97928.0,231.845,32.1,21490.943,191.511,Americas,2,5,2020
7,ARG,Argentina,17/05/20,7792,326,363,7,172.405,7.212999999999999,8.032,0.155,45195777.0,16.177,31.9,18933.907,191.032,Americas,17,5,2020
8,ARM,Armenia,18/05/20,4472,189,60,5,1509.162,63.782,20.248,1.6869999999999998,2963234.0,102.931,35.7,8787.58,341.01,Asia,18,5,2020
9,ABW,Aruba,07/05/20,101,1,2,0,945.9939999999999,9.366,18.733,0.0,106766.0,584.8,41.2,35973.781,,Americas,7,5,2020
10,AUS,Australia,18/05/20,7045,9,98,0,276.276,0.353,3.843,0.0,25499881.0,3.202,37.9,44648.71,107.791,Oceania,18,5,2020
11,AUT,Austria,18/05/20,16154,14,629,1,1793.6129999999998,1.554,69.839,0.111,9006400.0,106.749,44.4,45436.685999999994,145.183,Europe,18,5,2020
12,AZE,Azerbaijan,18/05/20,3274,136,39,3,322.906,13.413,3.846,0.29600000000000004,10139175.0,119.309,32.4,15847.419,559.812,Asia,18,5,2020
13,BHS,Bahamas,15/05/20,96,2,11,0,244.12099999999998,5.086,27.971999999999998,0.0,393248.0,39.497,34.3,27717.847,235.954,Americas,15,5,2020
14,BHR,Bahrain,18/05/20,6956,209,12,0,4087.958,122.82700000000001,7.0520000000000005,0.0,1701583.0,1935.9070000000002,32.4,43290.705,151.689,Asia,18,5,2020
15,BGD,Bangladesh,18/05/20,22268,1273,328,14,135.21200000000002,7.73,1.992,0.085,164689383.0,1265.036,27.5,3523.9840000000004,298.003,Asia,18,5,2020
16,BRB,Barbados,18/05/20,88,2,7,0,306.224,6.96,24.359,0.0,287371.0,664.4630000000001,39.8,16978.068,170.05,Americas,18,5,2020
17,BLR,Belarus,18/05/20,29650,969,165,5,3137.792,102.54700000000001,17.462,0.529,9449321.0,46.858000000000004,40.3,17167.967,443.129,Europe,18,5,2020
18,BEL,Belgium,18/05/20,55280,291,9052,47,4769.787,25.109,781.044,4.055,11589616.0,375.564,41.8,42658.575999999994,114.898,Europe,18,5,2020
19,BLZ,Belize,01/05/20,18,0,2,0,45.269,0.0,5.03,0.0,397621.0,16.426,25.0,7824.361999999999,176.957,Americas,1,5,2020
20,BEN,Benin,15/05/20,339,12,2,0,27.963,0.99,0.165,0.0,12123198.0,99.11,18.8,2064.236,235.84799999999998,Africa,15,5,2020
21,BMU,Bermuda,16/05/20,123,1,9,0,1975.174,16.058,144.525,0.0,62273.0,1308.82,,50669.315,139.547,Americas,16,5,2020
22,BTN,Bhutan,16/05/20,21,1,0,0,27.215999999999998,1.296,0.0,0.0,771612.0,21.188000000000002,28.6,8708.597,217.06599999999997,Asia,16,5,2020
23,BOL,Bolivia,18/05/20,4088,262,169,4,350.209,22.445,14.478,0.34299999999999997,11673029.0,10.202,25.4,6885.829000000001,204.299,Americas,18,5,2020
24,BES,Bonaire Sint Eustatius and Saba,01/05/20,6,0,0,0,228.824,0.0,0.0,0.0,26221.0,,,,,Americas,1,5,2020
25,BIH,Bosnia and Herzegovina,18/05/20,2289,22,132,3,697.692,6.706,40.234,0.914,3280815.0,68.49600000000001,42.5,11713.895,329.635,Europe,18,5,2020
26,BWA,Botswana,18/05/20,25,1,1,0,10.630999999999998,0.425,0.425,0.0,2351625.0,4.044,25.8,15807.374,237.372,Africa,18,5,2020
27,BRA,Brazil,18/05/20,241080,7938,16118,485,1134.177,37.345,75.828,2.282,212559409.0,25.04,33.5,14103.452,177.96099999999998,Americas,18,5,2020
28,VGB,British Virgin Islands,15/05/20,8,1,1,0,264.577,33.071999999999996,33.071999999999996,0.0,30237.0,207.97299999999998,,,,Americas,15,5,2020
29,BRN,Brunei,08/05/20,141,2,1,0,322.298,4.572,2.286,0.0,437483.0,81.347,32.4,71809.25099999999,201.285,Asia,8,5,2020
30,BGR,Bulgaria,18/05/20,2235,24,110,2,321.655,3.4539999999999997,15.831,0.28800000000000003,6948445.0,65.18,44.7,18563.307,424.68800000000005,Europe,18,5,2020
31,BFA,Burkina Faso,18/05/20,796,14,51,0,38.08,0.67,2.44,0.0,20903278.0,70.15100000000001,17.6,1703.102,269.048,Africa,18,5,2020
32,BDI,Burundi,18/05/20,42,15,1,0,3.532,1.261,0.084,0.0,11890781.0,423.06199999999995,17.5,702.225,293.068,Africa,18,5,2020
33,KHM,Cambodia,01/05/20,122,0,0,0,7.297000000000001,0.0,0.0,0.0,16718971.0,90.67200000000001,25.6,3645.07,270.892,Asia,1,5,2020
34,CMR,Cameroon,17/05/20,3292,187,140,0,124.012,7.044,5.274,0.0,26545864.0,50.885,18.8,3364.926,244.66099999999997,Africa,17,5,2020
35,CAN,Canada,18/05/20,76991,1138,5782,103,2039.921,30.151999999999997,153.197,2.7289999999999996,37742157.0,4.037,41.4,44017.59099999999,105.59899999999999,Americas,18,5,2020
36,CPV,Cape Verde,17/05/20,328,2,3,1,589.941,3.597,5.396,1.7990000000000002,555988.0,135.58,25.7,6222.554,182.21900000000002,Africa,17,5,2020
37,CYM,Cayman Islands,17/05/20,94,1,1,0,1430.31,15.216,15.216,0.0,65720.0,256.496,,49903.029,,Americas,17,5,2020
38,CAF,Central African Republic,17/05/20,327,26,0,0,67.705,5.382999999999999,0.0,0.0,4829764.0,7.479,18.3,661.24,435.727,Africa,17,5,2020
39,TCD,Chad,18/05/20,503,29,53,3,30.622,1.766,3.227,0.183,16425859.0,11.833,16.7,1768.1529999999998,280.995,Africa,18,5,2020
40,CHL,Chile,18/05/20,43781,2353,450,29,2290.255,123.089,23.54,1.517,19116209.0,24.281999999999996,35.4,22767.037,127.993,Americas,18,5,2020
41,CHN,China,18/05/20,84054,10,4638,0,58.398,0.006999999999999999,3.222,0.0,1439323774.0,147.674,38.7,15308.712,261.899,Asia,18,5,2020
42,COL,Colombia,18/05/20,15574,635,574,12,306.075,12.48,11.280999999999999,0.23600000000000002,50882884.0,44.223,32.2,13254.948999999999,124.24,Americas,18,5,2020
43,COM,Comoros,10/05/20,11,3,1,0,12.65,3.45,1.15,0.0,869595.0,437.352,20.4,1413.89,261.51599999999996,Africa,10,5,2020
44,COG,Congo,17/05/20,412,21,15,0,74.663,3.806,2.718,0.0,5518092.0,15.405,19.0,4881.406,344.094,Africa,17,5,2020
45,CRI,Costa Rica,18/05/20,863,10,10,0,169.41099999999997,1.963,1.963,0.0,5094114.0,96.079,33.6,15524.995,137.97299999999998,Americas,18,5,2020
46,CIV,Cote d'Ivoire,18/05/20,2109,48,27,2,79.952,1.82,1.024,0.076,26378275.0,76.399,18.7,3601.006,303.74,Africa,18,5,2020
47,HRV,Croatia,18/05/20,2226,2,95,0,542.23,0.48700000000000004,23.141,0.0,4105268.0,73.726,44.0,22669.797000000002,253.782,Europe,18,5,2020
48,CUB,Cuba,18/05/20,1872,10,79,0,165.274,0.883,6.975,0.0,11326616.0,110.40799999999999,43.1,,190.968,Americas,18,5,2020
49,CUW,Curacao,01/05/20,16,0,1,0,97.50200000000001,0.0,6.093999999999999,0.0,164100.0,362.644,41.7,,,Americas,1,5,2020
50,CYP,Cyprus,18/05/20,916,2,17,0,1045.7830000000001,2.283,19.409000000000002,0.0,875899.0,127.65700000000001,37.3,32415.132,141.171,Asia,18,5,2020
51,CZE,Czech Republic,18/05/20,8475,20,298,2,791.3919999999999,1.868,27.826999999999998,0.187,10708982.0,137.17600000000002,43.3,32605.906000000003,227.485,Europe,18,5,2020
52,COD,Democratic Republic of Congo,17/05/20,1454,85,60,0,16.235,0.9490000000000001,0.67,0.0,89561404.0,35.879,17.0,808.133,318.949,Africa,17,5,2020
53,DNK,Denmark,18/05/20,10927,69,547,4,1886.5020000000002,11.913,94.43700000000001,0.691,5792203.0,136.52,42.3,46682.515,114.76700000000001,Europe,18,5,2020
54,DJI,Djibouti,18/05/20,1401,70,4,0,1418.013,70.85,4.0489999999999995,0.0,988002.0,41.285,25.4,2705.406,258.03700000000003,Africa,18,5,2020
55,DMA,Dominica,01/05/20,16,0,0,0,222.25,0.0,0.0,0.0,71991.0,98.56700000000001,,9673.367,227.37599999999998,Americas,1,5,2020
56,DOM,Dominican Republic,18/05/20,12314,421,428,4,1135.15,38.809,39.455,0.369,10847904.0,222.873,27.6,14600.861,266.653,Americas,18,5,2020
57,ECU,Ecuador,18/05/20,33182,419,2736,48,1880.74,23.749000000000002,155.075,2.721,17643060.0,66.939,28.1,10581.936000000002,140.44799999999998,Americas,18,5,2020
58,EGY,Egypt,18/05/20,12229,510,630,18,119.5,4.984,6.156000000000001,0.17600000000000002,102334403.0,97.999,25.3,10550.206,525.432,Africa,18,5,2020
59,SLV,El Salvador,18/05/20,1338,73,30,4,206.28400000000002,11.255,4.625,0.617,6486201.0,307.811,27.6,7292.4580000000005,167.295,Americas,18,5,2020
60,GNQ,Equatorial Guinea,15/05/20,594,72,7,1,423.38300000000004,51.318999999999996,4.989,0.713,1402985.0,45.193999999999996,22.4,22604.873,202.812,Africa,15,5,2020
