,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,gdp_per_capita,cvd_death_rate,continent,day,month,year
0,AFG,Afghanistan,30/04/20,1949,122,60,0,50.066,3.134,1.541,0.0,38928341.0,54.422,18.6,1803.987,597.029,Asia,30,4,2020
1,ALB,Albania,30/04/20,766,16,31,1,266.176,5.56,10.772,0.34700000000000003,2877800.0,104.87100000000001,38.0,11803.431,304.195,Europe,30,4,2020
2,DZA,Algeria,30/04/20,3848,199,444,7,87.75200000000001,4.538,10.125,0.16,43851043.0,17.348,29.1,13913.839,278.36400000000003,Africa,30,4,2020
3,AND,Andorra,28/04/20,743,3,40,0,9616.256,38.827,517.6990000000001,0.0,77265.0,163.755,,,109.135,Europe,28,4,2020
4,AGO,Angola,28/04/20,27,1,2,0,0.8220000000000001,0.03,0.061,0.0,32866268.0,23.89,16.8,5819.495,276.045,Africa,28,4,2020
5,AIA,Anguilla,03/04/20,3,1,0,0,199.97299999999998,66.658,0.0,0.0,15002.0,,,,,Americas,3,4,2020
6,ATG,Antigua and Barbuda,22/04/20,24,1,3,0,245.078,10.212,30.635,0.0,97928.0,231.845,32.1,21490.943,191.511,Americas,22,4,2020
7,ARG,Argentina,30/04/20,4272,158,214,7,94.522,3.4960000000000004,4.735,0.155,45195777.0,16.177,31.9,18933.907,191.032,Americas,30,4,2020
8,ARM,Armenia,29/04/20,1932,65,30,0,651.99,21.935,10.124,0.0,2963234.0,102.931,35.7,8787.58,341.01,Asia,29,4,2020
9,ABW,Aruba,23/04/20,100,3,2,0,936.628,28.099,18.733,0.0,106766.0,584.8,41.2,35973.781,,Americas,23,4,2020
10,AUS,Australia,30/04/20,6746,8,90,2,264.55,0.314,3.529,0.078,25499881.0,3.202,37.9,44648.71,107.791,Oceania,30,4,2020
11,AUT,Austria,30/04/20,15364,50,580,11,1705.898,5.5520000000000005,64.399,1.2209999999999999,9006400.0,106.749,44.4,45436.685999999994,145.183,Europe,30,4,2020
12,AZE,Azerbaijan,30/04/20,1766,49,23,1,174.176,4.833,2.2680000000000002,0.099,10139175.0,119.309,32.4,15847.419,559.812,Asia,30,4,2020
13,BHS,Bahamas,27/04/20,80,2,11,0,203.43400000000003,5.086,27.971999999999998,0.0,393248.0,39.497,34.3,27717.847,235.954,Americas,27,4,2020
14,BHR,Bahrain,30/04/20,2921,110,8,0,1716.6370000000002,64.646,4.702,0.0,1701583.0,1935.9070000000002,32.4,43290.705,151.689,Asia,30,4,2020
15,BGD,Bangladesh,30/04/20,7103,641,163,8,43.13,3.892,0.99,0.049,164689383.0,1265.036,27.5,3523.9840000000004,298.003,Asia,30,4,2020
16,BRB,Barbados,28/04/20,80,1,6,0,278.38599999999997,3.48,20.879,0.0,287371.0,664.4630000000001,39.8,16978.068,170.05,Americas,28,4,2020
17,BLR,Belarus,30/04/20,13181,973,84,5,1394.915,102.97,8.89,0.529,9449321.0,46.858000000000004,40.3,17167.967,443.129,Europe,30,4,2020
