,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,gdp_per_capita,cvd_death_rate,continent,day,month,year
0,AFG,Afghanistan,25/02/20,1,1,0,0,0.026000000000000002,0.026000000000000002,0.0,0.0,38928341,54.422,18.6,1803.987,597.029,Asia,25,2,2020
1,DZA,Algeria,26/02/20,1,1,0,0,0.023,0.023,0.0,0.0,43851043,17.348,29.1,13913.839,278.36400000000003,Africa,26,2,2020
2,ARM,Armenia,01/02/20,0,0,0,0,0.0,0.0,0.0,0.0,2963234,102.931,35.7,8787.58,341.01,Asia,1,2,2020
3,AUS,Australia,29/02/20,25,2,0,0,0.98,0.078,0.0,0.0,25499881,3.202,37.9,44648.71,107.791,Oceania,29,2,2020
4,AUT,Austria,29/02/20,7,2,0,0,0.777,0.222,0.0,0.0,9006400,106.749,44.4,45436.685999999994,145.183,Europe,29,2,2020
5,AZE,Azerbaijan,29/02/20,1,1,0,0,0.099,0.099,0.0,0.0,10139175,119.309,32.4,15847.419,559.812,Asia,29,2,2020
6,BHR,Bahrain,29/02/20,38,5,0,0,22.331999999999997,2.938,0.0,0.0,1701583,1935.9070000000002,32.4,43290.705,151.689,Asia,29,2,2020
7,BLR,Belarus,28/02/20,1,1,0,0,0.106,0.106,0.0,0.0,9449321,46.858000000000004,40.3,17167.967,443.129,Europe,28,2,2020
8,BEL,Belgium,04/02/20,1,1,0,0,0.086,0.086,0.0,0.0,11589616,375.564,41.8,42658.575999999994,114.898,Europe,4,2,2020
9,BRA,Brazil,26/02/20,1,1,0,0,0.005,0.005,0.0,0.0,212559409,25.04,33.5,14103.452,177.96099999999998,Americas,26,2,2020
10,KHM,Cambodia,01/02/20,1,0,0,0,0.06,0.0,0.0,0.0,16718971,90.67200000000001,25.6,3645.07,270.892,Asia,1,2,2020
11,CAN,Canada,29/02/20,16,2,0,0,0.424,0.053,0.0,0.0,37742157,4.037,41.4,44017.59099999999,105.59899999999999,Americas,29,2,2020
12,CHN,China,29/02/20,79355,428,2837,47,55.13399999999999,0.297,1.9709999999999999,0.033,1439323774,147.674,38.7,15308.712,261.899,Asia,29,2,2020
13,HRV,Croatia,29/02/20,5,2,0,0,1.218,0.48700000000000004,0.0,0.0,4105268,73.726,44.0,22669.797000000002,253.782,Europe,29,2,2020
14,CZE,Czech Republic,01/02/20,0,0,0,0,0.0,0.0,0.0,0.0,10708982,137.17600000000002,43.3,32605.906000000003,227.485,Europe,1,2,2020
15,DNK,Denmark,29/02/20,2,1,0,0,0.345,0.17300000000000001,0.0,0.0,5792203,136.52,42.3,46682.515,114.76700000000001,Europe,29,2,2020
16,DOM,Dominican Republic,01/02/20,0,0,0,0,0.0,0.0,0.0,0.0,10847904,222.873,27.6,14600.861,266.653,Americas,1,2,2020
17,ECU,Ecuador,01/02/20,0,0,0,0,0.0,0.0,0.0,0.0,17643060,66.939,28.1,10581.936000000002,140.44799999999998,Americas,1,2,2020
18,EGY,Egypt,15/02/20,1,1,0,0,0.01,0.01,0.0,0.0,102334403,97.999,25.3,10550.206,525.432,Africa,15,2,2020
19,EST,Estonia,28/02/20,1,1,0,0,0.754,0.754,0.0,0.0,1326539,31.033,42.7,29481.252,255.56900000000002,Europe,28,2,2020
20,FIN,Finland,29/02/20,3,1,0,0,0.541,0.18,0.0,0.0,5540718,18.136,42.8,40585.721,153.507,Europe,29,2,2020
21,FRA,France,29/02/20,57,19,2,0,0.873,0.29100000000000004,0.031,0.0,65273512,122.57799999999999,42.0,38605.671,86.06,Europe,29,2,2020
22,GEO,Georgia,29/02/20,2,1,0,0,0.501,0.251,0.0,0.0,3989175,65.032,38.7,9745.079,496.218,Asia,29,2,2020
23,DEU,Germany,29/02/20,57,10,0,0,0.68,0.11900000000000001,0.0,0.0,83783945,237.016,46.6,45229.245,156.139,Europe,29,2,2020
24,GRC,Greece,29/02/20,4,1,0,0,0.384,0.096,0.0,0.0,10423056,83.479,45.3,24574.382,175.695,Europe,29,2,2020
25,HKG,Hong Kong,01/02/20,0,0,0,0,,,,,7496988,7039.714,44.8,56054.92,,Asia,1,2,2020
26,ISL,Iceland,29/02/20,1,1,0,0,2.93,2.93,0.0,0.0,341250,3.404,37.3,46482.958,117.992,Europe,29,2,2020
27,IND,India,04/02/20,3,1,0,0,0.002,0.001,0.0,0.0,1380004385,450.41900000000004,28.2,6426.674,282.28,Asia,4,2,2020
28,IDN,Indonesia,01/02/20,0,0,0,0,0.0,0.0,0.0,0.0,273523621,145.725,29.3,11188.743999999999,342.86400000000003,Asia,1,2,2020
29,IRN,Iran,29/02/20,388,143,34,8,4.619,1.703,0.405,0.095,83992953,49.831,32.4,19082.62,270.308,Asia,29,2,2020
30,IRQ,Iraq,29/02/20,7,1,0,0,0.174,0.025,0.0,0.0,40222503,88.125,20.0,15663.986,218.612,Asia,29,2,2020
31,IRL,Ireland,01/02/20,0,0,0,0,0.0,0.0,0.0,0.0,4937796,69.874,38.7,67335.293,126.459,Europe,1,2,2020
32,ISR,Israel,29/02/20,7,4,0,0,0.809,0.462,0.0,0.0,8655541,402.606,30.6,33132.32,93.32,Asia,29,2,2020
33,ITA,Italy,29/02/20,888,238,21,4,14.687000000000001,3.9360000000000004,0.34700000000000003,0.066,60461828,205.859,47.9,35220.084,113.15100000000001,Europe,29,2,2020
34,JPN,Japan,29/02/20,230,20,3,0,1.819,0.158,0.024,0.0,126476458,347.778,48.2,39002.223,79.37,Asia,29,2,2020
35,KWT,Kuwait,29/02/20,45,2,0,0,10.537,0.46799999999999997,0.0,0.0,4270563,232.128,33.7,65530.537000000004,132.235,Asia,29,2,2020
36,LVA,Latvia,29/02/20,0,0,0,0,,,,,1886202,31.212,43.9,25063.846,350.06,Europe,29,2,2020
37,LBN,Lebanon,28/02/20,3,1,0,0,0.44,0.147,0.0,0.0,6825442,594.561,31.1,13367.565,266.591,Asia,28,2,2020
38,LTU,Lithuania,28/02/20,1,1,0,0,0.36700000000000005,0.36700000000000005,0.0,0.0,2722291,45.135,43.5,29524.265,342.98900000000003,Europe,28,2,2020
39,LUX,Luxembourg,01/02/20,0,0,0,0,0.0,0.0,0.0,0.0,625976,231.447,39.7,94277.965,128.275,Europe,1,2,2020
40,MKD,Macedonia,27/02/20,1,1,0,0,0.48,0.48,0.0,0.0,2083380,82.6,39.1,13111.214,322.688,Europe,27,2,2020
41,MYS,Malaysia,29/02/20,25,2,0,0,0.772,0.062,0.0,0.0,32365998,96.25399999999999,29.9,26808.164,260.942,Asia,29,2,2020
42,MEX,Mexico,29/02/20,2,2,0,0,0.016,0.016,0.0,0.0,128932753,66.444,29.3,17336.468999999997,152.783,Americas,29,2,2020
