,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,gdp_per_capita,cvd_death_rate,continent,day,month,year
33,ITA,Italy,31/01/20,3.0,3.0,0.0,0.0,0.05,0.05,0.0,0.0,60461828.0,205.859,47.9,35220.084,113.15100000000001,Europe,31.0,1.0,2020.0
34,JPN,Japan,31/01/20,14.0,3.0,0.0,0.0,0.111,0.024,0.0,0.0,126476458.0,347.778,48.2,39002.223,79.37,Asia,31.0,1.0,2020.0
35,KWT,Kuwait,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4270563.0,232.128,33.7,65530.537000000004,132.235,Asia,1.0,1.0,2020.0
36,LBN,Lebanon,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6825442.0,594.561,31.1,13367.565,266.591,Asia,1.0,1.0,2020.0
37,LTU,Lithuania,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722291.0,45.135,43.5,29524.265,342.98900000000003,Europe,1.0,1.0,2020.0
38,LUX,Luxembourg,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625976.0,231.447,39.7,94277.965,128.275,Europe,1.0,1.0,2020.0
39,MKD,Macedonia,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2083380.0,82.6,39.1,13111.214,322.688,Europe,1.0,1.0,2020.0
40,MYS,Malaysia,31/01/20,8.0,1.0,0.0,0.0,0.247,0.031,0.0,0.0,32365998.0,96.25399999999999,29.9,26808.164,260.942,Asia,31.0,1.0,2020.0
41,MEX,Mexico,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128932753.0,66.444,29.3,17336.468999999997,152.783,Americas,1.0,1.0,2020.0
42,MCO,Monaco,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39244.0,19347.5,,,,Europe,1.0,1.0,2020.0
43,NPL,Nepal,25/01/20,1.0,1.0,0.0,0.0,0.034,0.034,0.0,0.0,29136808.0,204.43,25.0,2442.804,260.797,Asia,25.0,1.0,2020.0
44,NLD,Netherlands,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17134873.0,508.54400000000004,43.2,48472.545,109.361,Europe,1.0,1.0,2020.0
